Artist,song,lyrics
Justin Timberlake,dance tonight,"Dance, don't hold the wall
Dance, don't, don't, don't hold the wall
Dance, dance, don't hold the wall
Da-da-dance, don't hold the wall
Come on on the floor with them legs
It's getting down but I'll get up
'Cause I heard you tell your girlfriends that I deserve better
Well, I think you look better
But you're so far, I had to go get ya'
Take you to the light
It's dark in the back
You started movin', you put an arch in your back
Closer to me, closer to me
Sippin' your drink and you're getting closer to me
Dance in the light, startin' to see
You started moving, you're getting closer to me
And now you won't even let me go
So baby hold on
Dance, don't hold the wall
Let it go
Dance, don't, don't, don't hold the wall
Baby hold on
Dance don't hold the wall
Let it go
Dance don't hold the wall
Dance, (What you do to me?)
Dance, don't, don't, don't, hold the wall
Dance, dance, (What you do to me?)
Da-da-dance, don't hold the wall
Dance, dance, don't hold the wall
Da-da-dance, don't hold the wall
I think I heard what you said
He's not what you thought and you're fed up
I heard your girlfriend tell you, you could do better
Well, I'm the best ever
But you're so far, I had to come get ya'
Take you to the light
It's dark in the back
You started movin', you put an arch in your back
Closer to me, closer to me
Sippin' your drink and you're getting closer to me
Dance in the light, startin' to see
You started moving, you're getting closer to me
And now you won't even let me go
So baby hold on
Dance, don't hold the wall
Let it go
Dance, don't, don't, don't hold the wall
Baby hold on
Dance don't hold the wall
Let it go
Dance don't hold the wall
Dance, (What you do to me?)
Dance, don't, don't, don't, hold the wall
Dance, dance, (What you do to me?)
Da-da-dance
Dance, don't hold the wall
Dance, don't hold the wall
Dance, don't hold the wall
Let it go
Dance, don't, don't, don't hold the wall
Baby hold on
Dance don't hold the wall
Let it go
Dance don't hold the wall
Dance, (What you do to me?)
Dance, don't, don't, don't, hold the wall
Dance, dance, (What you do to me?)
Da-da-dance, don't hold the wall
Come on the floor and dance
It's getting down but I'll get up
Come on the floor and dance
It's getting down but I'll get up
Come on and dance
Come on baby dance with me
Take my hand
Get on the floor
Come on baby dance with me
Please don't hold the wall
Please don't hold the wall tonight
We're gonna do it all
So please don't hold the wall tonight
Dance
Come on baby dance with me
Take my hand
Get on the floor
Come on baby dance with me
Please don't hold the wall
Please don't hold the wall tonight
We're gonna do it all
So please don't hold the wall tonight
Where you running to?
Where you running to?
Don't hold the wall
Where you running to?
Hey, where you running to?
Dance, don't hold the wall
Don't hold the wall
Dance, don't hold the wall
Dance, don't hold the wall
Dance, don't hold the wall"
Justin Timberlake,dead and gone,"Ayy, let me kick it to you right quick, man
Not on some gangsta shit
Man, on some real shit
Anybody done been through the same thing
I'm sure you feel the same way
Big Phil, this for you, pimpin'

[Chorus: Justin Timberlake & T.I.]
Ohh, I've been travelin' on this road too long (too long)
Just tryin' to find my way back home (back home)
The old me is dead and gone, dead and gone
And ohh, I've been travelin' on this road too long (too long)
Just tryin' to find my way back home (back home)
The old me is dead and gone, dead and gone, hey

[Verse 1: T.I.]
Ever had one of them days wish you woulda stayed home
Run into a group of niggas who gettin' they hate on?
You walk by, they get wrong
You reply, then shit get blown
Way outta proportion, way past discussion
Just you against them, pick one, then rush him
Figure you get jumped, hell, that's nothin'
They don't wanna stop there, now they bustin'
Now you gushin', ambulance rushin' you
To the hospital with a bad concussion
Plus you hit four times, plus it hit yo' spine
Paralyzed waist-down, now you're wheelchair-bound
Never mind that now, you lucky to be alive
Just think, it all started, you fussin' with three guys
Now your pride in the way, but your pride is the way
You could fuck around, get shot, die any day
Niggas die everyday, all over bullshit
Dope money, dice game, ordinary hood shit
Could this be ‘cause of hip hop music?
Or did the ones with the good sense not use it?
Usually niggas don't know what to do when
Their back against the wall, so they just start shootin'
For red or for blue or for blow, I guess
From Bankhead up to yo projects

[Pre-Chorus: T.I.]
No more stress, now I'm straight
Now I get it, now I take
Time to think before I make
Mistakes just for my family's sake
That part of me left yesterday
The heart of me is strong today
No regrets, I'm blessed to say
The old me dead and gone away

[Chorus: Justin Timberlake & T.I.]
Ohh, I've been travelin' on this road too long (too long)
Just tryin' to find my way back home (back home)
The old me is dead and gone, dead and gone
And ohh, I've been travelin' on this road too long (too long)
Just tryin' to find my way back home (back home)
The old me is dead and gone, dead and gone, hey

[Verse 2: T.I.]
I ain't never been scared, I lived through tragic
Situation coulda been dead lookin' back at it
Most of that shit didn't even have to happen
But you don't think about it when you out there trappin'
In apartments, hangin', smokin' and rappin'
Niggas start shit, next thing you know we cappin'
Get locked up, then didn't even get mad
Now think about, damn, what a life I had!
Most of that shit, look back, just laugh
Some shit, still look back, get sad
Maybe my homeboy still be around
Had I not hit the nigga in the mouth that time
I won that fight, I lost that war
I can still see my nigga walkin' out that door
Who'da thought I'd never see Philant no more?
Got enough dead homies, I don't want no more
Cost a nigga his jaw, cost me more
I'da took that ass-whoopin' now for sure
Now think before I risk my life
Take them chances to get my stripe
A nigga put his hands on me, alright
Otherwise, stand there, talk shit all night
‘Cause I hit you, you sue me
I shoot you, get locked up, who? Me?

[Pre-Chorus: T.I.]
No more stress, now I'm straight
Now I get it, now I take
Time to think before I make
Mistakes just for my family's sake
That part of me left yesterday
The heart of me is strong today
No regrets, I'm blessed to say
The old me dead and gone away

[Chorus: Justin Timberlake & T.I.]
Ohh, I've been travelin' on this road too long (too long)
Just tryin' to find my way back home (back home)
The old me is dead and gone, dead and gone
And ohh, I've been travelin' on this road too long (too long)
Just tryin' to find my way back home (back home)
The old me is dead and gone, dead and gone, hey

[Bridge: Justin Timberlake]
I turn my head to the East
I don't see nobody by my side
I turn my head to the West
Still nobody in sight
So I turn my head to the North
Swallow that pill that they call pride
The old me is dead and gone
But the new me will be alright

[Chorus: Justin Timberlake & T.I.]
Ohh, I've been travelin' on this road too long (too long)
Just tryin' to find my way back home (back home)
The old me is dead and gone, dead and gone
And ohh, I've been travelin' on this road too long (too long)
Just tryin' to find my way back home (back home)
The old me is dead and gone, dead and gone, hey"
Justin Timberlake,dick in box,"Hey girl
I got somethin' real important to give you
So just sit down and listen
Girl you know we've been together such a long long time
(Such a long time)
And now I'm ready to lay it on the line
Wow, you know it's Christmas and my heart is open wide
(Open wide)
Gonna give you something so you know what's on my mind
(What's on my mind)
A gift real special, so take off the top
Take a look inside it's my dick in a box
It's in a box
Not gonna get you a diamond ring
That sort of gift don't mean anything
Not gonna get you a fancy car
Girl, ya gotta know you're my shinin' star
Not gonna get you a house in the hills
A girl like you needs somethin' real
Wanna get you somethin' from the heart
Somethin' special girl
It's my dick in a box
My dick in a box babe
It's my dick in a box
Ooh, my dick in a box girl
See I'm wise enough to know
When a gift needs givin', and I got just the one
Somethin' to show ya that you are second to none
To all the fellas out there with ladies to impress
It's easy to do just follow these steps
1, cut a hole in a box
2, put your junk in that box
3, make her open the box
And that's the way you do it
It's my dick in a box
My dick in a box babe
It's my dick in a box
Ooh, my dick in a box girl
Christmas, dick in a box
Hanukkah, dick in a box
Kwanzaa, a dick in a box
Every single holiday a dick in a box
Over at your parents' house, a dick in a box
Mid-day at the grocery store, a dick in a box
Backstage at the CMA's, a dick in a box
My dick in a box
My dick in a box
My dick in a box"
Justin Timberlake,dont hold the wall,"Dance, don't hold the wall
Dance, don't, don't, don't hold the wall
Dance, dance, don't hold the wall
Da-da-dance, don't hold the wall
Come on on the floor with them legs
It's getting down but I'll get up
'Cause I heard you tell your girlfriends that I deserve better
Well, I think you look better
But you're so far, I had to go get ya'
Take you to the light
It's dark in the back
You started movin', you put an arch in your back
Closer to me, closer to me
Sippin' your drink and you're getting closer to me
Dance in the light, startin' to see
You started moving, you're getting closer to me
And now you won't even let me go
So baby hold on
Dance, don't hold the wall
Let it go
Dance, don't, don't, don't hold the wall
Baby hold on
Dance don't hold the wall
Let it go
Dance don't hold the wall
Dance, (What you do to me?)
Dance, don't, don't, don't, hold the wall
Dance, dance, (What you do to me?)
Da-da-dance, don't hold the wall
Dance, dance, don't hold the wall
Da-da-dance, don't hold the wall
I think I heard what you said
He's not what you thought and you're fed up
I heard your girlfriend tell you, you could do better
Well, I'm the best ever
But you're so far, I had to come get ya'
Take you to the light
It's dark in the back
You started movin', you put an arch in your back
Closer to me, closer to me
Sippin' your drink and you're getting closer to me
Dance in the light, startin' to see
You started moving, you're getting closer to me
And now you won't even let me go
So baby hold on
Dance, don't hold the wall
Let it go
Dance, don't, don't, don't hold the wall
Baby hold on
Dance don't hold the wall
Let it go
Dance don't hold the wall
Dance, (What you do to me?)
Dance, don't, don't, don't, hold the wall
Dance, dance, (What you do to me?)
Da-da-dance
Dance, don't hold the wall
Dance, don't hold the wall
Dance, don't hold the wall
Let it go
Dance, don't, don't, don't hold the wall
Baby hold on
Dance don't hold the wall
Let it go
Dance don't hold the wall
Dance, (What you do to me?)
Dance, don't, don't, don't, hold the wall
Dance, dance, (What you do to me?)
Da-da-dance, don't hold the wall
Come on the floor and dance
It's getting down but I'll get up
Come on the floor and dance
It's getting down but I'll get up
Come on and dance
Come on baby dance with me
Take my hand
Get on the floor
Come on baby dance with me
Please don't hold the wall
Please don't hold the wall tonight
We're gonna do it all
So please don't hold the wall tonight
Dance
Come on baby dance with me
Take my hand
Get on the floor
Come on baby dance with me
Please don't hold the wall
Please don't hold the wall tonight
We're gonna do it all
So please don't hold the wall tonight
Where you running to?
Where you running to?
Don't hold the wall
Where you running to?
Hey, where you running to?
Dance, don't hold the wall
Don't hold the wall
Dance, don't hold the wall
Dance, don't hold the wall
Dance, don't hold the wall"
Justin Timberlake,double down speed round,"It's time to double down
In the speed round
Got a holiday you're gonna
Like better stick around
Well my favorite's a ""Big Hug Ball Day""
That's a big ball of hugs
Or ""Shock A Friend Day""
Rub your feet on the rug
And touch everyone you love
Well, there's a very special day
We call an ""equinox""
It's a great opportunity
to celebrate socks
Socks socks socks so-so-Socks!
Come on!
Tear Away Pants Day
feel the breeze on your hips
Hear the sound a Velcro
going rip rip rip
Good Luck Troll Day
Put a gem on your stomach
And you spit a little charm
Let a friend belly rub it
Rub rub rub rub rub rub...
Everyone will be so jelly
When they see you on the telly
With their shiny big jewels
sticking right out your belly
Body round
Music loud
Swarming with the top down
Body round
Music loud
Swarming with the top down
Come on!
Come on!
On Express Yourself Day
Give your opinion a shout
Keep It To Yourself Day
Where you shut your mouth
There's a rockin' holiday
Filled up with lots of drama
Get you jumpin' all around
lemme call it ""Mosh-sha-sha-na""
Shoot a flare in the air
Like you just don't care
'Cause it's ""Fireworks Day""
In the village square
There's ""Bleeping Sound Day""
Where you only speak in bleeps
You could say anything like:
If you want a tattoo,
But you're having doubts
There's ""Random Tattoo Day""
Which is not thought out
Smacksgiving Day is a day we embrace
Especially when someone
gets slapped in the face
A big holiday that's a bundle of fun
It's Fuzzy Wuzzy Day so go put one on
It's so wuzzy and it's fuzzy
And it's cute and ugly fugly
And we know you're gonna love it
When you're feeling super snuggly
Body round
Music loud
Swarming with the top down
Body round
Music loud
Swarming with the top down
Come on!
Come on!
Come on!
Let a friend belly rub
Come on!
Body round
Music loud
Swarming with the top down
Body round
Music loud
Swarming with the top down
Come on!
Come on!"
Justin Timberlake,dress on,"There's something about your body
I'm not in a rush
But girl I'm ready to marry you
Yeah right here in the restaurant
And start on our honeymoon
While you still got your dress on
While you still got your dress on
Now I ain't trying to offend nobody
But girl don't they see you
It's cool if they don't
'Cause hey I only see me and you
That's why I'm all over you
While you still got your dress on
While you still got your dress on
I can't wait
'Cause girl as soon as I look at your face
I see a world where our heart never breaks
To me that means that the whole world could change but not mine
I can't wait
The way I know your body
I don't really need much
Girl I know where to touch
Stay where you are
Drop all your worries
And you can leave all the rest on
We can do it
While you still have your dress on
There's something about your body
I'm not in a rush
But girl I'm ready to marry you
Yeah right here in the restaurant
And start on our honeymoon
While you still got your dress on
While you still got your dress on
Now I ain't trying to offend nobody
But girl don't they see you
It's cool if they don't
'Cause hey I only see me and you
That's why I'm all over you
While you still got your dress on
While you still got your dress on
I can't wait
'Cause girl as soon as I look at your face
I see a world where our heart never breaks
To me that means that the whole world could change but not mine
I can't wait
Let me take you
So walk with me
Through the beautiful sand, as we take pictures
Hips so wide, looks like it's got whiskers
Let put a solid gold on that solid figure
Go ahead show your pretty dentures
Your pretty physique, your pretty toes
I'm pretty with you
I do a good job for that pretty picture
You the prettiest, but I'm the only thing that's missing
I can't wait
'Cause girl as soon as I look at your face
I see a world where our heart never breaks
To me that means that the whole world could change but not mine
I can't wait"
Justin Timberlake,drink you away,"Bitter sweet thing
Could this be a dream
Or just the same nightmare that keeps me awake?
Feel it in my brain
A tall shot of pain
Pour a little OUT now for the love that we've made
I feel it in the morning
You're still here in the morning
I see you but you're gone
Telephone a doctor: I'm not okay
The bottom of the bottle
To fill this empty heart up
A thousand proof
Don't change the truth
I dive in but I can't
I can't drink you away
I've tried Jack, I've tried Jim,
I've tried all of their friends
But I can't drink you away
All these rocks
I can't swim
Out of this skin
I'm living in
Say
Now tell me, baby, don't they make a medicine for heart break, oh?
Tell me, baby, oh, yeah, now don't they make a medicine for heart break?
Got a pounding on my brain
So I drowned it away
When the sun comes up tomorrow you can find me doing the same
'Cause I just can't forget
The way we turned out this bad/bed
And now the only thing that sleeps here is a ghost of you instead
And then I feel it in the morning
You're still here in the morning
I see you but you're gone
Telephone a doctor: I'm not okay
Bottom of the bottle
To fill this empty heart up
A thousand proof
Don't change the truth
I dive in but I can't
I can't drink you away
I've tried Jack, I've tried Jim,
I've tried all of their friends
But I can't drink you away (no, I can't)
All these rocks
I can't swim
Out of this skin
I'm living in
Say
Tell me, baby, don't they make a medicine for heart break?
Oh, tell me, baby, one time, come on, don't they make a medicine for heart break?
Break it down
I can't drink you No, I can't drink you away, away
I can't drink you I can't drink you away, away
I can't drink you I can't drink you away, away
Oh, I can't drink you No, I can't drink you away, away
I can't drink you away
I've tried Jack, I've tried Jim,
I've tried all of their friends
But I can't drink you away
All these rocks
I can't swim
Out of this skin
I'm living in
Say
So tell me, baby, don't they make a medicine for heart break (don't they, don't they, tell me, baby)?
Oh, tell me baby, one time, don't they make a medicine for heart break, yeah?
Tell me, baby, can't they make a medicine for my heart break, heart break?
Tell me, baby, yeah, can't they make a medicine for my heart break?
'Cause I can't drink you away
I've tried Jack, I've tried Jim,
I've tried all of their friends
I can't drink you away
All these rocks
I can't swim
Out of this skin
I'm living in"
Justin Timberlake,Electric Lady,"What's your suggestion for tonight?
Should I turn off, or maybe leave on the light?
Maybe leave on the light?
Maybe leave on the light?
Uh hey Electric lady
Oh my, you're skipping my heart
Kiss in the dark with your lightning eyes
Said that I want you to ignite fires all night
And you got the power
You're damn right
It's life or death
Not gonna make it if you don't connect tonight right
Strike twice all night
Body moves like waves
You're reaching my heart fast
You're searching for something
That's just how electricity behaves
Now we're needing it so bad
The other ones don't last
Wait a minute I'm feeling charged
I should've known how she glow in the dark
You turn it on and I touch it 'til it sparks
Electric lady uh
Wait a minute until it drops
I feel it jump, we get closer 'til we shock
You turn it on and I touch it 'til it sparks
Electric lady
Love won't die, running low but girl your love won't die
So what you're giving me girl
All that energy give it here
You know how it goes sometimes
Love won't die, running low but girl
Your love won't die
But if you need any girl
I got energy come and get it
Know how it goes sometimes
Sometimes I need a little (more)
Give a little, if I get a little
We could meet any place
About the middle tonight
And you got the power
Baby you know, if you're ever low
I will go low and bring you back into the light
Strike twice all night
Body moves like waves
You're reaching my heart fast
You're searching for something(yeah)
That's just how electricity behaves
And I've been needing it so bad
The other ones don't last
Wait a minute I'm feeling charged
I should've known how she glow in the dark
You turn it on and I touch you 'til it sparks
Electric lady uh
Wait a minute until it drops,
I feel it jump, we get closer 'til we shock
You turn it on and I touch it 'til it sparks
Electric lady
What's your suggestion for tonight?
Should I turn off, or maybe leave on the light?
Maybe leave on the light?
Maybe leave on the light?
Uh hey Electric lady
Wait a minute I'm feeling charged
I should've known how she glow in the dark
You turn it on and I touch it 'til it sparks
Electric lady uh
Wait a minute until it drops,
I feel it jump, we get closer 'til we shock
You turn it on and I touch it 'til it sparks
Electric lady"
Justin Timberlake,Fascinated,"Oh, hell
Here comes the pursuit of happiness
I walk in the club, I glow 'til you miss
My band is right behind me,
We're rocking is so, so fly
I'm a flirt, I take all ladies
But tonight I'ma
Welcome to, these are my guys
He's an application, why don't you apply?
So, we can get it popping
So, we can keep it loud
I see you smiling, go here,
Swallow your pride and tell me
My goal is right and my swag is tight
And, I know you're fascinated by me
And my fans is good, and we all good
And, I know you're fascinated by me
You like this, baby, and I won't stop
And I know you're fascinated about me
And I smell good, and I feel good
And I gotta know that you're fascinated about me
Come and, baby
These are my Jedi knights
Welcome to the mile high club,
We gonna take a long flight
We gonna party like some rock stars
Cause we're some rock stars
Gotta love me baby cause I love the way you are
Don't get it twisted, it's only one guy
It's only one guy, that gonna make you born in fire
You like me, but I can't take it easy on you
Come here, fight me
You love it when I tease you, don't you?
My goal is right and my swag is right
Girl, I know you're fascinated by me
Fans is good, and we all good
Girl, I know you're fascinated by me
You like this, baby, and I won't stop
And I know you're fascinated about me
I smell good, and I feel good
Gotta know that you're fascinated about me
Timbo' the king,
The rise of the planet of the apes
My identity change because of my birth age
What you mean?
Passport game is heavy cause I'm sitting on
Got a house on every country, on every state
Baby don't be surprised cause you're looking out great
With that glow in your eyes you're looking like you wanna masturbate
Don't do it
I don't want, but I take
I push that thing, gal, when I wanna fascinate you
My goal is right and my swag is right
Girl, I know you're fascinated by me
Fans is good, and we all good
Girl, I know you're fascinated by me
You like this, baby, and I won't stop
And I know you're fascinated about me
I smell good, and I feel good
Gotta know that you're fascinated about me"
Justin Timberlake,Filthy,"Hey
If you know what's good
(If you know what's good)
If you know what's good
(If you know what's good) come on
Hey, if you know what's good
(If you know what's good)
Haters gon' say it's fake
So real
Haters gon' say it's fake
So real
Haters gon' say it's fake
So real
All my haters gon' say it's fake
I guess I got my swagger back
I said, put your filthy hands all over me
And no, this ain't the clean version
And what you gonna do with all that meat?
Cookin' up a mean servin'
No question, I want it
Fire up, everybody smokin'
Your friends, my friends
And they ain't leavin' till six in the morning (six in the morning)
Come chill, baby, you the coldest
Go far, put 'em on notice
If you know what I want, then yeah
Baby, don't you mind if I do, yeah
Exactly what you like times two, yeah
Got me singin', ""ooh, ooh""
So baby, don't you mind if I do
Look
Put your filthy hands all over me
And no, this ain't the clean version
And what you gonna do with all that beast?
When I leave the cage open
Huh, walk to me, uh
No question, I want it
Fire up, everybody smokin'
Your friends, my friends
And they ain't leavin' till six in the morning (six in the morning)
Come chill, baby, you the coldest
Go far, put 'em on notice
If you know what I want, then yeah
Baby, don't you mind if I do, yeah
Exactly what you like times two, yeah
Got me singin', ""ooh, ooh""
So baby, don't you mind if I do
Come on, break it down!
If you know what's good
(If you know what's good) come on
If you know what's good
(If you know what's good) come on
Hey if you know what's good
(If you know what's good)
Haters gon' say it's fake
So real
Haters gon' say it's fake
So real
Haters gon' say it's fake
So real
All my haters gon' say it's fake
Baby, don't you mind if I do
Exactly what you like times two (times two)
Got me singin', ""ooh, ooh"" (uh)
Baby, don't you mind if I do
(Come on!)
Your friends, my friends
And they ain't leavin' till six in the morning (six in the morning)
Huh your friends, my friends
And they ain't leavin' till six in the morning (six in the morning)
So put your filthy hands all over me
And no, this ain't the clean version
Go on and put your filthy hands all over me
No, this ain't the clean version
Do you see me?
Can you find me?
(Can you find me?)
Look closer
Through the trees
Do you see it?"
Justin Timberlake,Five Hundred Miles,"If you missed the train I'm on
You will know that I am gone
You can hear the whistle blow a hundred miles
A hundred miles, a hundred miles,
A hundred miles, a hundred miles
You can hear the whistle blow a hundred miles
Lord, I'm one, Lord, I'm two,
Lord, I'm three, Lord, I'm four
Lord, I'm five hundred miles away from home
Away from home, away from home,
Away from home, away from home
Lord, I'm five hundred miles away from home
Not a shirt on my back
Not a penny to my name
Lord, I can't go back home this ole way
This ole way, this ole way,
This ole way, this ole way,
Lord, I can't go back home this this ole way
If you missed the train I'm on
You will know that I am gone
You can hear the whistle blow a hundred miles
A hundred miles, a hundred miles,
A hundred miles, a hundred miles,
You can hear the whistle blow a hundred miles
You can hear the whistle blow a hundred miles
You can hear the whistle blow a hundred miles
"
Justin Timberlake,Flannel,"Right behind my left pocket
That is where you'll feel my soul
It's been with me many winters
It will keep you warm
When a father's love is doin' you wrong
When a mother's love is bringin' you home
When you needed, needed, needed a stone
Someone to lean on
Now I know I could never sit in his chair
And that missin' love left you bare, yeah
But if I'm bein' selfish, that gave me a reason to be there
With my flannel on
Right behind my left pocket
That is where you'll feel my soul
It's been with me many winters
It will keep you warm
You see, I've been down that road before
And I wouldn't dare say that my hurt was more
But a little spitfire hurt you, boy
With nothin' to lean on (nothin' to lean on)
It's bound to go down after a couple empty cans
And I knew once I saw that fancy record company man
And in her face, she knew I was a stan
I was leavin' with my flannel on
Right behind my left pocket
That is where you'll feel my soul
It's been with me many winters
It will keep you warm
The character's in the way you wear it
It takes your shape while you keep it on
May we live for many winters
Keepin' each other warm
Now I pledge you'll never ever be alone again
And I pledge these arms and chest are here
To hold you in from the cold
Right behind my left pocket
That is where you'll feel my soul
It's been with me many winters
It will keep you warm
Ooh, here's my flannel
The character's in the way you wear it (the way you wear it)
It takes your shape while you keep it on (all you gotta do is keep it on)
May we live for many winters
Keepin' each other warm
And may we live for many winters
Keepin' each other warm
Do you see?
Look at all of it from up here
It's beautiful, it's beautiful
Do you see it?
It's in the air
It's in your blood
It's in your skin
Can you see it from up here?
Can you taste it?
Can you touch it?
It's in the earth
It's in the sky
Do you see me?
Do you see me?
Do you see me?
Do you see me?"
Justin Timberlake,Floatin,"Floatin', floatin'
Floatin', floatin'
Floatin', floatin'
Chalie wilson in the house
Floatin', floatin'
Jt
Floatin', floatin'
Will.i.am
Floatin', floatin'
Talk to me
I, i'm not sure just how to say this for you
The words just don't come out right
But that doesn't mean that i don't feel somethin' for ya
You gotta understand that love
Love was something i knew nothing about
Until i met you
But you, girl
You're the one that turned my heart around
And for that i love you
I'm walking on the sky
Girl you're making me high
My feet can hardly touch the ground
Oh damn i'm mesmerized
I'm floatin' on the sky
Girl you're making me high
My feet can hardly touch the ground
Oh damn i'm mesmerized
I tried everything i knew from before
She broke my technique and now my heart is sore
I'm on cloud nine and i want some more
She got me floatin'
I had to say do do, do do, do do do do do do
Say do do do do do do
If you're in love let me hear you say do do, do do, do do do do do
Say do do do do do do
If you're in love
Said hey, girl
I just can't seem to take my eyes off of you
(but who could blame me?)
'cause when i look into those baby blues
I can feel my heart fall to the ground
And for that i love you
I'm walking on the sky
Girl you're making me high
My feet can hardly touch the ground
Oh damn i'm mesmerized
I'm floatin' on the sky
Girl you're making me high
My feet can hardly touch the ground
Oh damn i'm mesmerized
I tried everything i knew from before
She broke my technique and now my heart is sore
I'm on cloud nine and i want some more
She got me floatin'
I had to say do do, do do, do do do do do do
Say do do do do do do
If you're in love let me hear you say do do, do do, do do do do do
Say do do do do do do
If you're in love
Girl you got me walkin' on the sky
Sho' nuff make a brother feel high
And it feels like i'm floatin'
But i ain't smokin' dope
One day i hope you could tell me why
Why the sun don't shine when you're gone
Baby, you've still got that thing to turn me on
Like the first time i peeped ya
I wanted to freak ya
And getcha up outta your thong
I wanna freak ya, freak ya, freak freak ya
Get kinky, put your booty on a speaker
And when my waist go boom
And the bass go boom
Can i se-quence the beat to treat ya?
'cause it's seven in the morning and it just don't stop
And we've been at it since eleven o'clock
The chocolate rabbit with the hippity hop
Makin' love letcha flow
I tried everything i knew from before
She broke my technique and now my heart is sore
I'm on cloud nine and i want some more
She got me floatin'
I had to say do do, do do, do do do do do do
Say do do do do do do
If you're in love let me hear you say do do, do do, do do do do do
Say do do do do do do
If you're in love
Uncle charlie, preach"
Justin Timberlake,Follow my head,"One, two, two, three, three, uhh, hands up
I'll show what it do, I got my stance up (Whoa)
Everybody knows this is the anthem
Everybody knows this is the anthem
So get your hands up, go

[Verse 1: Esmée Denters]
You don't feel love from nobody
And brand new problems keep coming
They follow you, you keep running
So down boy, don't you hear something?
Gone through it if you just listen
It might just make you look different
Just let it go, you won't miss it
Nothing to lose, just go with it

[Pre-Chorus: Esmée Denters]
What is that?
Could it be the rescue that you need?
It's not a dream, that's happening
Hands up come, with me
What is that?
Could it be the rescue that you need?
It's not a dream, that's happening
Hands up come, with me

[Chorus: Esmée Denters]
Follow my lead
And we'll go where no one goes
When everyone leaves
I'll be the one still standing strong
Listen to me, love is a song
I'll be the melody, you'll be my drum
Follow my lead and we'll go where no one goes

[Verse 2: Esmée Denters]
The world around you keeps changing
Come back to what you keep waiting
For something to come and save you
Just let it in, let it take you
To a place where every thing's better
'Cause you've been waiting forever
Live life like it don't matter
It won't stop if you don't let it

[Pre-Chorus: Esmée Denters]
What is that?
Could it be the rescue that you need?
It's not a dream, that's happening
Hands up come, with me
What is that?
Could it be the rescue that you need?
It's not a dream, that's happening
Hands up come, with me

[Chorus: Esmée Denters]
Follow my lead
And we'll go where no one goes
When everyone leaves
I'll be the one still standing strong
Listen to me, love is a song
I'll be the melody, you'll be my drum
Follow my lead and we'll go where no one goes

[Verse 3: Justin Timberlake]
Uh, hands up (Hands up)
I'll show what it do
I got my stance up (Stance up)
Everybody knows this is the anthem (This is the anthem)
Everybody knows this is the anthem (Yeah)
So get your hands up
Hands up (Hands up)
I'll show what it do, I got my stance up (I got the stance up)
Everybody knows this is the anthem (This is the anthem)
Everybody knows this is the anthem
So get your hands up

[Chorus: Esmée Denters]
Follow my lead
And we'll go where no one goes
When everyone leaves
I'll be the one still standing strong
Listen to me, love is a song
I'll be the melody, you'll be my drum
Follow my lead and we'll go where no one goes

[Outro: Justin Timberlake & (Esmee Denters)]
Everybody dance
From London to Japan (Dance)
From L.A. to France (Dance)
NY to Brazil (Dance)
Let, let me see ya hands (Dance)
From London to Japan (Dance)
From L.A. to France (Dance)
NY to Brazil (Dance)
Let, let me see ya hands
Dance"
Justin Timberlake,Friend medley,"Friends
How many of us have them?
Friends
Ones you can depend on
You just call on me brother
When you need a hand
We all need somebody to lean on
Lean on me
When you're not strong
And I'll be your friend
I'll help you carry on
For it won't be long
'Til I'm gonna need
Somebody to lean on
Lean on me
You just might have a problem
That I'll understand
We all need somebody to lean on
Lean on me
When you're not strong
And I'll be your friend
Thank you for being a friend
(You know this one)
Traveled down the road and back again
Your heart is true
You're a pal and a confidant
And if you threw a party
Invited everyone you knew
Well you would see
The biggest gift would be from me
And the card attached would say
Thank you for being a friend
Oh you're the best friend
That I've ever had
I've been with you such a long time
You're my sunshine
And I want you to know
My feelings are true
I really love you
You're my best friend﻿"
